"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_57","GTE65","FEMALE","BLR","","","5.26","6.57","","","7.64","5.8","8.64","6.23","7.3","10.3","7.81","7.56","8.8","8.18","10.68","12.99335768","14.75","13.88","12.18","11.76","13.6","18.89","16.82","16.59470333","18.26343692","","19.46","7.29","6.77","19.68","7.65","","6.99","6.27","",""
"HFAMDB_57","GTE65","FEMALE","BEL","7.23","7.71","7.77","6.28","6.8","6.57","5.36","6.17","3.83","4.26","3.33","2.13","2.64","2.49","3.66","2.58","2.71","1.6","1.85","1.24","0.83","2.14","2.41","2.24","1.9","2.02","1.94","1.81","2.25","1.95","1.86","2.33","2.68","2.07","2.99","2.79","2.59",""
"HFAMDB_57","GTE65","FEMALE","BIH","","","","","","","9.22","9.02","28.29","20.17","21.54","12.56","8.47","","","","","","","","","","","","","","","","","","","","0","","","0.23","",""
"HFAMDB_57","GTE65","FEMALE","BGR","","2.35","2.43","2.79","1.55","1.72","2.41","2.83","3.63","3.61","3.16","2.35","2.89","3.11","3.3","4.24","3.57","3.13","3.32","2.49","2.68","4.05","2.9","2.86","2.77","2.04","1.3","1.29","1.87","1.11","1.6","1","1.44","1.84","1.13","1.3","",""
"HFAMDB_57","GTE65","FEMALE","HRV","","","","","","","5.11","2.41","2.47","2.48","2.22","1.52","1.75","3.21","2.62","3.15","1.63","2.14","3.07","1.78","1.78","1.35","2.1","1.22","2.28","2.12","2.29","1.99","1.34","1.8","2.31","2.2","1.92","2.16","1.16","1.64","1.34","1.35"
"HFAMDB_57","GTE65","FEMALE","CYP","","","","","","","","","","","","","","","","","","","","","","","","","","1.36","1.66","0","0","0","0","0","4.03","0","0","1.26","0","2.88"
"HFAMDB_57","GTE65","FEMALE","CZE","","","","","","","","14.87","13.78","15.85","13","12.15","13.03","10.62","10.13","7.75","5.45","2.63","2.28","2.94","1.53","2.34","2.63","1.64","2.07","1.93","2.3","2.21","2.08","1.91","1.88","2.7","1.39","2.62","2.56","3.19","4.83","5.01"
"HFAMDB_57","GTE65","FEMALE","DNK","","","","","","","","","","","","","","","","3.03","3.86","1","1.63","0.68","0.63","0.51","1.8","0.92","0.52","1.07","1.49","1.82","0.67","0.71","1.43","1.59","1.52","0.71","1.83","1.93","1.73",""
"HFAMDB_57","GTE65","FEMALE","EST","","","2.93","5.22","","","2.89","1.48","3.95","1.61","1.82","1.05","3.89","2.82","12.73","12.9","6.05","4.05","6.02","6.9","7.65","4.28","8","4.89","6.85","5.08","4.54","5.3","1.86","3.07","3.69","8.86","3.47","6.1","1.21","3.96","2.49",""
"HFAMDB_57","GTE65","FEMALE","FIN","","","","","","","","","5.55","3.57","3.7","2.79","3.24","4.57","2.68","4.33","3.63","6.44","3.37","6.63","4.6","4.62","6.9","5.56","5.96","5.94","6.86","8.38","9.47","7.72","9.11","8.1","6.28","6.77","6.06","6.11","",""
"HFAMDB_57","GTE65","FEMALE","FRA","2","2.23","2.09","2.53","2.65","2.44","1.84","2.39","2.16","1.77","1.55","2.14","1.96","1.84","1.46","1.97","1.81","2.14","2.75","4.61","4.56","5.48","4.9","4.66","4.63","3.66","3.6","3.52","3.49","4.44","5.45","5.77","6.52","6.46","5.98","5.51","",""
"HFAMDB_57","GTE65","FEMALE","GEO","","","1.91","1.68","","","1.12","2.53","2.77","1.55","2.07","2.71","4.25","3.17","","2.12","5.14","1.28","2.14","1.16","1.38","0.93","1.12","","","0.47","0","1.15","3.25","","2.88","1.57","0","0.56","0","0.84","1.3",""
"HFAMDB_57","GTE65","FEMALE","DEU","","","","","","","","","","","","2.42","1.71","1.58","0.98","0.51","0.27","0.46","0.6","0.29","0.41","0.66","1.08","0.76","0.78","0.59","0.61","0.45","0.59","0.72","0.54","0.56","0.49","0.63","0.45","0.67","0.55",""
"HFAMDB_57","GTE65","FEMALE","GRC","0.89","1.09","1.85","0.86","0.8","1.29","0.9","0.92","0.5","0.69","1.56","0.95","1.37","1","0.72","1.12","0.69","1","0.33","0.62","0.68","0.99","1.46","1.13","0.94","1.22","0.83","0.79","0.21","0.1","0.42","0.26","0.36","0.38","","0.41","0.96",""
"HFAMDB_57","GTE65","FEMALE","HUN","5.52","5.51","4.28","6.69","6.79","4.07","6.27","3.82","4.63","3.33","2.71","2.19","4.72","1.85","2.81","1.8","1.83","1.93","1.24","2.27","1.6","1.28","1.61","1.38","2.03","0.92","1.4","0.94","1.32","0.83","1.1","1.42","1.2","0.63","0.86","0.55","0.84","1.22"
"HFAMDB_57","GTE65","FEMALE","ISL","","","0","9.57","0","4.78","0","0","0","7.58","0","14.35","7.91","13.99","0","0","0","0","0","7.15","0","6.02","4.9","0","7.56","0","11.6","0","0","9.87","0","0","5.91","5.86","15.38","0","0","0"
"HFAMDB_57","GTE65","FEMALE","IRL","2.78","5.45","1.85","1.95","1.46","0.78","1.52","0.45","2.3","0.86","0","0.75","0.52","0.42","1.84","1.65","2.77","1.67","2.72","1.26","1.71","0.88","1.69","0.9","1.87","1.2","1.39","1.53","3.17","5.81","4.05","5.04420397","1.04","2.65","3.22","","",""
"HFAMDB_57","GTE65","FEMALE","ISR","0.6","1.06","3.17","2.99","3.21","0.42","2.38","0.82","1.06","0.63","0.87","0","0","0","0.83","0","0","0","0.37","0","0.52","0.29","0","0.29","0.52","0","0.29","0","0","0","0","0.39","0.27","0","0","","0",""
"HFAMDB_57","GTE65","FEMALE","ITA","1.09","1.53","1.77","1.59","2.06","2.08","1.59","1.63","1.63","1.34","0.99","1.29","1.55","1.34","1.03","1.19","1.3","0.95","0.94","0.87","0.93","0.72","1.05","0.87","0.79","0.83","0.78","0.66","0.54","0.66","0.55","0.74","0.56","0.97","1.04","0.88","1.01",""
"HFAMDB_57","GTE65","FEMALE","KAZ","","","9.69","11.13","","","15.26","11.9","9.71","11.78","10.64","9.81","9.11","10.02","12.18","14.71","12.09","16.85","23.3","18.6","32.41","32.4","42.92","34.21","31.69","14.29","13.9","18.73","13.25","13.55","7.99","12.88","11.19","9.85","9.81","9.03","7.7",""
"HFAMDB_57","GTE65","FEMALE","KGZ","","","11.97","15.68","","","11.01","9.45","9.43","7.14","9.61","11.1","11.75","9.16","12.65","15.62","11.17","14.06","12.36","19.89","13.5","7.06","10.8","9.72","11.42","16.21","8.36","11.02","12.07","14.6","11.52","6.06","5.76","11.87","3.99","9.3","5.64",""
"HFAMDB_57","GTE65","FEMALE","LVA","","6.28","5.75","3.78","5.68","3.57","6.11","1.34","2.67","3.64","3.53","2.77","1.58","2.73","5.75","4.51","4.18","4.13","7.39","8.49","4.64","9.2","5.81","3.36","8.97","7.35","8.4","6.22","7.8","4.43","6.99","5.19","1.34","3.67","3.53","3.41","3.31",""
"HFAMDB_57","GTE65","FEMALE","LTU","","","7.98","5.13","","","7.38","9.28","6.8","4.63","3.59","5.52","5.19","9.41","4.93","9.12","9.94","13.27","8.51","9.15","5.84","9.85","7.6","12.76","9.52","14.07","9.75","14.01","11.55","10","8.31","8.66","6.96","5.32","6.85","4.66","6.07","9.63"
"HFAMDB_57","GTE65","FEMALE","LUX","0","0","0","2.33","0","0","0","8.53","0","0","3.95","0","0","6.25","0","0","3.08","0","0","0","0","1.85","2.32","2.79","0","2.85","0","1.92","3","3.87","0","0","5.73","6.25","0","0","7.88",""
"HFAMDB_57","GTE65","FEMALE","MLT","0","0","0","0","4.78","0","6.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"HFAMDB_57","GTE65","FEMALE","MNE","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","2.04","0","0","0","0","","","","","","",""
"HFAMDB_57","GTE65","FEMALE","NLD","1","0.94","0.72","0.79","0.17","0.21","0.43","0.16","0.22","0.35","0.26","0.07","0.15","0.39","0.43","0.23","0.09","0.26","0.05","0.21","0.15","0.43","0.21","0.63","0.46","0.76","0.6","0.61","0.27","0.56","0.81","0.56","0.91","0.46","0.9","0.81","0.6","0.59"
"HFAMDB_57","GTE65","FEMALE","NOR","","","","","","","","0.64","0.55","1.61","0.69","1.08","1.39","0.86","0.55","1.47","0.9","1.68","1.11","0.68","1.28","0.88","1.95","2.3","2.1","4.02","1.88","2.41","4.77","1.89","3.21","4.65","2.26","4.19","2.89","4.64","4.21",""
"HFAMDB_57","GTE65","FEMALE","POL","","","","","5.77","6.1","8.09","6.51","6.82","6.92","7.46","5.63","5.93","4.16","4.37","3.18","2.89","2.67","","","2.13","1.96","2.22","1.62","1.74","2.09","1.59","1.96","1.54","1.62","1.91","1.93","1.68","1.29","1.33","1.25","1.03",""
"HFAMDB_57","GTE65","FEMALE","PRT","","0.79","0.77","0.54","0.4","0.27","0.29","0.28","0.59","0.29","0.15","0","0.33","0.13","0.51","0.77","0.6","0.41","0.5","0.5","0.07","0.19","0.35","0.89","1.26","0","","","0.65","0.35","0.63","0.82","0.42","0.54","0.86","0.95","",""
"HFAMDB_57","GTE65","FEMALE","MDA","","","20.09","15.54","","","36.82","23.96","29.3","23.54","19.11","10.02","29.08","15.59","11.75","13.13","17.44","16.08","16.8","18.62","15.22","12.8","19.34","22.03","24.04","23.55","18.48","14.5","13.68","14.79","15.44","15.05","9.21","10.14","8.42","18.41","17.65","14.04"
"HFAMDB_57","GTE65","FEMALE","ROU","","","","","","","","","","","9.07","7.51","8.21","7.82","8.78","8.17","9.54","12.01","10.57","8.71","7.74","8.28","7.05","6.82","7.19","7.26","6.5","6.71","6.53","5.93","6.59","6.46","5.76","5.3","4.23","5.52","3.83","4.55"
"HFAMDB_57","GTE65","FEMALE","RUS","","13.74","12.56","13.07","13.01","14.64","13.88","10.77","10.84","10.94","10.63","11.06","11.37","11.87","16.81","20.01","17.03","15.54","14.87","13.77","14.18","16.11","17.71","19.85","19.59","17.01","16.54","15.83","12.43","12.11","12.18","11.68","10.17","8.56","8.6","","",""
"HFAMDB_57","GTE65","FEMALE","SMR","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","","","","","","","","","",""
"HFAMDB_57","GTE65","FEMALE","SRB","","","","","","","","","","","","","","","","","","","","1.56","1.01","0.84","1.45","0.99","0.81","0.78","0.55","2.95","1.25","0.74","1.13","0.9","0.89","1.28","0.63","1.22","1.18",""
"HFAMDB_57","GTE65","FEMALE","SVK","","","","","","","","","","","","","","2.87","2.3","2.7","1.66","2.24","0.78","1.06","1.33","1.2","1.52","1.15","0.88","0.94","0.84","0","0","1.05","1.28","2.11","","0.56","0.65","1.67","",""
"HFAMDB_57","GTE65","FEMALE","SVN","","","","","","","1.65","1.98","0.92","0","2.92","1.93","2.19","1.55","2.02","1.07","1.75","1.15","0","1.66","2.3","1.1","1.12","0","0.53","0.43","0.87","2.34","0","0.56","2.15","3.02","3.15","1.59","2.62","2.06","2.29",""
