"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_840","40_44","ALL","PRT","522500","527900","533900","542300","547800","548400","549800","541000","523200","511500","499400","507000","523700","537200","565900","555600","558400","554000","555700","540800","551300","539700","544700","538400","553200","581200","591400","595900","598700","601300","547200","565400","554000","548900","547500","554891","569262","585089","603842","622441","635825","646160","655188","658153","659795","665881","671491","678431","689577","701467","714435","729921","743774","754346","765432","774170","777853","779444","779399","777380","776148","778189","782546","787201","793158","",""
"HFAMDB_840","40_44","ALL","MDA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264743","264007","260269","246833","230604","212036","191662","179180","185485","214286","253599","289030","314692","331900","331902","327279","324573","276378","282398","288583","293792","296336","293715","286807","275531","260310","250767","244364","236147","229713.5","226064","225001","225705","228210","231781","236210","241090"
"HFAMDB_840","40_44","ALL","ROU","","","","","","1125400","1130500","1027600","909900","786000","815000","881000","998500","1156300","1253900","1315600","1363400","1409300","1447300","1468600","1485700","1501100","1520400","1532300","1531300","1528400","1534200","1624100","1537800","1538100","1543200","1477600","1423500","1354500","1301800","1234400","1235000","1237500","1261100","1332400","1437100","1518100","1557200","1622000","1616800","1641400","1659900","1674400","1672500","1663800","1594800","1530486","1427621","1347403","1286191","1238076","1192648","1200174","1455383","1611779","1738891","1844332","1707996","1605213","1539373","1520318","1516890"
"HFAMDB_840","40_44","ALL","RUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11298900","11279400","10535200","9068300","7507000","6290000","5749500","6052000","6996700","8323400","9653400","10494000","10966800","11276100","11533300","11742400","11938500","12099500","12309200","12447100","12502305","12546431","12447081","12251459","11915765","11307371","10658532","10085891","9602503","9297130","9228817","9295350","9451487","9656787","9656787","10170845",""
"HFAMDB_840","40_44","ALL","SMR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1771","1810","1871","1899","2005","2109","","","","","2728","2945","3065","","","","2950","2918","2904","2891","2865",""
"HFAMDB_840","40_44","ALL","SRB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","597981","572961","552643","539781","531178","522857","512627","501422","490837","483448","478203","475799","474252","472915","473768","475829","479646","484995",""
"HFAMDB_840","40_44","ALL","SVK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281672","284446","287042","296805","312496","328128","347014","367575","392973","406117","410926","420086","424593","426000","424700","419800","412631","401660","392632","386184","384934","384393","381362","377216","371217","364928","361633","358125","364976","378278.5","394660","",""
"HFAMDB_840","40_44","ALL","SVN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121200","122100","123700","125300","131500","145000","151100","155500","159400","161800","161300","162200","161400","158100","156300","153738","155518","154587","154936","154596","155302","156625","157574","157889","155667","152808","148795","146735","146358","146919","148381",""
"HFAMDB_840","40_44","ALL","ESP","1785000","1789000","1793000","1797000","1801000","1805000","1804000","1803000","1802000","1799000","1800000","1801000","1806000","2015000","2090000","2171000","2187000","2203100","2230700","2258300","2289400","2347600","2314600","2356200","2357800","2343700","2365500","2332400","2256500","2136100","2027700","2064000","2100000","2067000","2113200","2186000","2263000","2321300","2365900","2400900","2424300","2434700","2436300","2441100","2462100","2490000","2530100","2587000","2654900","2743194","2873023","2972746","3082952","3182840","3277606","3374442","3468777","3565055","3646982","3698237","3727260","3751682","3851906","3856317","3873700","3906456",""
"HFAMDB_840","40_44","ALL","SWE","536900","542500","547100","549200","547400","543300","538400","533200","527200","520600","526700","542100","548800","551300","553200","542500","522300","506500","494400","483800","475300","468300","462000","453900","446100","441100","439100","441200","448600","461300","473800","485500","503600","530400","562400","598100","633200","658500","670700","670900","661300","645100","626800","611600","599400","590900","588400","588400","586800","585974","585474","583900","584782","591458.5","606166","625964.5","646213","663975","672969","668655","657643","648970","643205","640947.5","645656.5","645656.5",""
